Result\tTimeType\tTime
curl: error while loading shared libraries: libcrypto.so.1.0.0: failed to map segment from shared object: Cannot allocate memory	real	0m0.214s	sys	0m0.001s	user	0m0.000s	









curl: error while loading shared libraries: libcrypt.so.1: cannot map zero-fill pages: Cannot allocate memory	real	0m0.373s	sys	0m0.002s	user	0m0.000s	
curl: error while loading shared libraries: cannot allocate symbol search list: Cannot allocate memory	real	0m0.230s	sys	0m0.002s	user	0m0.000s	






	real	0m0.605s	sys	0m0.000s	user	0m0.006s	
	real	0m0.647s	sys	0m0.006s	user	0m0.000s	
	real	0m0.654s	sys	0m0.007s	user	0m0.000s	
	real	0m0.665s	sys	0m0.002s	user	0m0.004s	
	real	0m0.635s	sys	0m0.006s	user	0m0.000s	
	real	0m0.632s	sys	0m0.004s	user	0m0.003s	
	real	0m0.635s	sys	0m0.006s	user	0m0.000s	
	real	0m0.622s	sys	0m0.000s	user	0m0.006s	
	real	0m0.671s	sys	0m0.007s	user	0m0.000s	
	real	0m0.536s	sys	0m0.000s	user	0m0.006s	
	real	0m0.594s	sys	0m0.007s	user	0m0.000s	
	real	0m0.609s	sys	0m0.005s	user	0m0.002s	
	real	0m0.564s	sys	0m0.003s	user	0m0.003s	
{"message": "Internal server error"}	real	0m1.654s	sys	0m0.000s	user	0m0.008s	
{"message": "Internal server error"}	real	0m1.748s	sys	0m0.004s	user	0m0.004s	
{"message": "Internal server error"}	real	0m1.708s	sys	0m0.008s	user	0m0.000s	
{"message": "Internal server error"}	real	0m1.751s	sys	0m0.004s	user	0m0.004s	
{"message": "Internal server error"}	real	0m1.764s	sys	0m0.008s	user	0m0.000s	
{"message": "Internal server error"}	real	0m1.697s	sys	0m0.004s	user	0m0.003s	
{"message": "Internal server error"}	real	0m1.754s	sys	0m0.000s	user	0m0.008s	
{"message": "Internal server error"}	real	0m1.786s	sys	0m0.004s	user	0m0.004s	
{"message": "Internal server error"}	real	0m1.679s	sys	0m0.006s	user	0m0.003s	
{"message": "Internal server error"}	real	0m1.770s	sys	0m0.007s	user	0m0.002s	
{"message": "Internal server error"}	real	0m1.727s	sys	0m0.010s	user	0m0.000s	
real	0m13.222s	sys	0m0.008s	{"totalTime": 11.696910858154297, "processingtime": 0.14528608322143555, "endTime": 1481912232.353468, "startTime": 1481912220.656557, "redisTime": 11.546936273574829}	user	0m0.000s	
real	0m13.436s	sys	0m0.005s	{"totalTime": 12.086878061294556, "processingtime": 0.15704345703125, "endTime": 1481912232.762064, "startTime": 1481912220.675186, "redisTime": 11.92426347732544}	user	0m0.003s	
real	0m13.895s	sys	0m0.004s	{"totalTime": 12.345684051513672, "processingtime": 0.16557598114013672, "endTime": 1481912233.010533, "startTime": 1481912220.664849, "redisTime": 12.173682928085327}	user	0m0.004s	
real	0m13.850s	sys	0m0.004s	{"totalTime": 12.426038980484009, "processingtime": 0.15589642524719238, "endTime": 1481912233.229701, "startTime": 1481912220.803662, "redisTime": 12.263952016830444}	user	0m0.004s	
